,0
0,[4583 2579 3633   48 2422 1349 5192 3168 4115 1887]
1,[4583 1887 2046 4390 2593   87 1310 2010 1588 7677]
2,[6427 3330 2761 2052 7603 2277 5423 4039 2140 2124]
3,[4583 5192 1310 2595 1648 3633 4077 1289 2451 1887]
4,[2579 4583   48 5027 2281 3633 1887 3168 1588 2422]
5,[4583 1887 5192 2046 2010 2890 1797 2579 1648 1349]
6,[5423 2277 5027  583  554 4498 1663 5476 6427 2614]
7,[3633 4583 2422 2579   48 1888 4131 4115 5192  659]
8,[3633 2579   48 4583 2422  659 1888 3136 2661 3168]
9,[1289 1648 4089 2595 2199 2451 5015 1887 4048 5467]
10,[4583 2579 1887   48 3633 5027 4384 2593 3168 2422]
11,[4583 1887 2593 4390 2046 1310   87 2010 1588 2579]
12,[1887 4583 2579 2593   48 2010 4384 5027 4390 1648]
13,[4583 5192 3633 2422 4115 2579 4077 4131 1349   48]
14,[4583 2579 3633 4115 2422   48 5192 4235 8943 5027]
15,[2579   48 1887 3168 4583 5027 4384 3633 1349 2593]
16,[4583 3633 2579 2422   48 5192 4115 1888 4131 1938]
17,[4583 2579   48 1887 5027 2010 3168 1349 3633 4384]
18,[3633 2579   48 2422 3168 4583 4235 3136 4115 2941]
19,[4583 1887 2579   48 2593 4390   87 2451 1310  659]
20,[4583 1887 5027 2010  923 2350 2579 2593 2046   48]
21,[6729 7603 2052 1887 5027 6427 2911 3315 2124 1758]
22,[2579   48 4583 1887 4384 3168 3633 1349 5027 2451]
23,[4583 2579 3633   48 4115 2422 1349 5192 4235 5027]
24,[1887 4583 2579   48 2593 4384 2010 1648 4390 2451]
25,[2579   48 3633 4583 3168 1887 1349 2422 4384 2451]
26,[1887 4384 2010 5027 4583 2579   48 2593 1349  923]
27,[2579   48 3168 3633 1887 4583 1349 4384 2451 2422]
28,[1887 2579 4583   48 2593 4384 2451 3168 5027 1648]
29,[4583   87 2579 1588 4390 1887 5192 2422 1310 8943]
30,[4583 1588 5423 2281 2579 2277 2422 8943 4390   87]
31,[4583 2579   48 1588 5027 5423 2281 2277 1887 2422]
32,[  48 2579 3168 3136 3633  474 2661  659 1349 5027]
33,[4583 1588 2277 5423 4390 8943   87 2052 1887 2761]
34,[4583 8943 5192 4115 2520 6103 2422 5277 2890 3500]
35,[2144 2052 1887 4583 1588 2579 2277  659 2593 4390]
36,[1887 4583 2593 2579 4390 2010 2046 1310   87 4384]
37,[4583 2579   48 3633 2422 2281 5027 1588 5423 4115]
38,[2579   48 4583 3633  659 2144 2281 3168 1887 2422]
39,[4583 2579   48 1887 5027 1588 2052 5423 2277 2281]
40,[2579   48 1887 4583 5027 3168 4384 2010 1349 2593]
41,[4583 2579 2422 5192 8943 4115   87 3633 1588 4390]
42,[4583 1887 2010 5027 2350 2593 4390 8943 2046 1588]
43,[3633 2579 4583   48 1887 2451 1648  659 2661 2422]
44,[4583 1887 2579 4390 2010   87 1588 5027 2593 2046]
45,[4583 5192 4115 2579 3633 1349 2422   48  923 5027]
46,[4583 1588 1887 2052 2277 4390 2761 2593 6427 2010]
47,[1887 4583 2579   48 5027 2593 2010 4384 4390 3168]
48,[4583 2579 3633 2422 5192   48   87 1887 4115 1938]
49,[4583 2579 3633   48 2422 2281 1588  659 1888 2224]
50,[8821 3633 2579 2281   48 2144  659 4040 2941 2422]
51,[4583 2579 1887 1588   48 4390   87 5027 2010 2422]
52,[4583  659 2579 3633   48 2422 2281 2144 1888 3136]
53,[4583 1887 2579   48 2010 4390   87 5027 5192 2593]
54,[ 659 3633 1297 3136 2941 2579 2661   48  474 1888]
55,[4583 2579 1887   48 5027 2010 4390 2593   87 3633]
56,[3633 2579 4583   48 2422  659 1888 3168 2281 4131]
57,[4583 2579   48 5027 1887 1588 3633 2422 2281 4390]
58,[1887 4583 2579 2593   48 2052 2010 5027 4384 4390]
59,[4583 2579 1887   48 3633 2422 2451 1648   87 1938]
60,[3633 2579 4583  659   48 2422 2661 2451 1888 4131]
61,[4583 2579   48 5027 1887 3168 1349 3633 4115 2422]
62,[2579   48 4583 1887 5027 3168 3633 4384 2593 2281]
63,[4583 2579 3633   48 2422 1887 2451  659 5192 1888]
64,[4583 2579   48 1887 3633 1349 3168 5027 4384 2422]
65,[4583 2579   48 1887 3633 2422 1938 2451   87 4390]
66,[1887 2052 2593 5027 2010 6427 4583 4390 2350 1588]
67,[4583 1887 2579 2593 1588   48 4390 2010 5027   87]
68,[2579 4583   48 3633 1887 2422 3168 2451 1349 4384]
69,[2579 1887   48 4583 4384 3168 5027 1349 3633 2593]
70,[4583 8943 5192 3500 2890 6103 2520 8923 4115   87]
71,[4583 2579   48 3633 1887 2422 1349 1938 2451 5192]
72,[4583 1588 2579 2281 5423 2277 4390   87 2422   48]
73,[2579   48 3168 4583 3633 5027 3136 1887 2281 2144]
74,[3633 2941 3168 3136 4235 2422 5567   48 4774 4131]
75,[3633 3168 2735 2941 2661   48 2589  696 1349 3136]
76,[1887 4583 1648 2451 2579 1310 2593 1289   87 4390]
77,[3633 5192 4077 4583 1648 2422 2451 2589 2595 4131]
78,[4583 2579 3633   48 2422 1887 1888 5192 1349 3168]
